"Term","Campus","CRN","Course","Section","Cr Hrs","Course Title","Course Additional Information","Instructional Method","Instructor","Room","Session","Days","Time","Actual Enrolled","Max Enrolled","CCE Reserved","FYS Reserved","Un- reserved Available","Cross List Enrolled","Syllabus_Link"
201530,Direct Study Abroad,30988,ABRD 999,008,0,Abroad Invoice - Direct Study,,,,TBA,Full Term Courses,TBA,,17,25,0/0,0/0,8,,
201530,Guilford,32223,ACCT 200,001,4,Intro to Fraud Examinations,,,"Granger, Henry",BAUM 203,Full Term Courses,W,8:10pm - 10:10pm,20,35,0/0,0/0,15,,
201530,Guilford,30230,ACCT 201,001,4,Introduction to Accounting,,,"Cardwell, Ronald",BAUM 202,Full Term Courses,MW,11:30am - 12:45pm,17,35,0/0,0/0,18,,
201530,Guilford,30533,ACCT 201,002,4,Introduction to Accounting,,,"Parks, Karen",BAUM 205,Full Term Courses,TR,1:00pm - 2:15pm,32,35,0/0,0/0,3,,
201530,Guilford,30231,ACCT 201,003,4,Introduction to Accounting,,,"Parks, Karen",FRNK 320,Full Term Courses,M,8:10pm - 10:10pm,17,40,13/35,,1,,
201530,Guilford,30232,ACCT 201,004,4,Introduction to Accounting,Fast Track I.,,"Granger, Henry",BAUM 202,First half of semester course,MW,6:00pm - 8:00pm,25,40,0/0,0/0,15,,
201530,Guilford,30235,ACCT 301,001,4,Intermediate Accounting I,Prerequisite: ACCT 201.,,"Cardwell, Ronald",BAUM 202,Full Term Courses,M,8:10pm - 10:10pm,15,40,0/0,0/0,25,,
201530,Guilford,32034,ACCT 301,002,4,Intermediate Accounting I,Fast Track II.  Prerequisite: ACCT 201.,,"Granger, Henry",BAUM 202,Second half of semester course,MW,6:00pm - 8:00pm,11,40,0/0,0/0,29,,
201530,Guilford,30237,ACCT 302,001,4,Intermediate Accounting II,Fast Track I.  Prerequisite: ACCT 301.,,"Grubbs, William",BAUM 205,First half of semester course,MW,6:00pm - 8:00pm,25,40,0/0,0/0,15,,
201530,Guilford,30238,ACCT 303,001,4,Intermediate Accounting III,Fast Track II.  Prerequisite: ACCT 302.,,"Grubbs, William",BAUM 205,Second half of semester course,MW,6:00pm - 8:00pm,17,40,0/0,0/0,23,,
201530,Guilford,30239,ACCT 311,001,4,Cost Accounting,Prerequisite: ACCT 201.,,"Grubbs, William",BAUM 205,Full Term Courses,W,8:10pm - 10:10pm,22,35,0/0,0/0,13,,
