"Term","Campus","CRN","Course","Section","Cr Hrs","Course Title","Course Additional Information","Instructional Method","Instructor","Room","Session","Days","Time","Actual Enrolled","Max Enrolled","CCE Reserved","FYS Reserved","Un- reserved Available","Cross List Enrolled","Syllabus_Link"
201730,Direct Study Abroad,30988,ABRD 999,008,0,Abroad Invoice - Direct Study,,,, ,Full Term Courses,TBA,TBA,9,25,0/0,0/0,16,,
201730,Guilford,32223,ACCT 200,001,4,Intro to Fraud Examinations,,,"Granger, Henry",BAUM 203,Full Term Courses,W,8:10pm - 10:10pm,16,30,0/0,0/0,14,,
201730,Guilford,30230,ACCT 201,001,4,Introduction to Accounting,,,"Parks, Karen",BAUM 202,Full Term Courses,MW,10:00am - 11:15am,24,25,0/0,0/0,1,,
201730,Guilford,30533,ACCT 201,002,4,Introduction to Accounting,,,"Parks, Karen",FRNK 220,Full Term Courses,TR,10:00am - 11:15am,24,25,0/0,0/0,1,,
201730,Guilford,30231,ACCT 201,003,4,Introduction to Accounting,,,"Parks, Karen",FRNK 320,Full Term Courses,M,8:10pm - 10:10pm,27,30,0/0,0/0,3,,
201730,Guilford,30235,ACCT 301,001,4,Intermediate Accounting I,Prerequisite: ACCT 201.,,"Granger, Henry",BAUM 202,Full Term Courses,M,8:10pm - 10:10pm,24,25,0/0,0/0,1,,
201730,Guilford,30237,ACCT 302,001,4,Intermediate Accounting II,Fast Track I.  Prerequisite: ACCT 301.,,"Cardwell, Ronald",BAUM 205,First half of semester course,MW,6:00pm - 8:00pm,11,25,0/0,0/0,14,,
201730,Guilford,30238,ACCT 303,001,4,Intermediate Accounting III,Fast Track II.  Prerequisite: ACCT 302.,,"Cardwell, Ronald",BAUM 205,Second half of semester course,MW,6:00pm - 8:00pm,6,25,0/0,0/0,19,,
201730,Guilford,30239,ACCT 311,001,4,Cost Accounting,Prerequisite: ACCT 201.,,"Parks, Karen",BAUM 205,Full Term Courses,W,8:10pm - 10:10pm,13,25,0/0,0/0,12,,
201730,Guilford,31421,ACCT 320,001,4,Crmnlgy/Lgl Issues:Forensc Acc,Fast Track II.  Prerequisite: ACCT 201.,,"Granger, Henry",BAUM 203,Second half of semester course,MW,6:00pm - 8:00pm,11,30,0/0,0/0,19,,
201730,Guilford,30240,ACCT 321,001,4,Taxation of Individuals,Prerequisite: ACCT 201.,,"Cardwell, Ronald",BAUM 202,Full Term Courses,W,8:10pm - 10:10pm,19,25,0/0,0/0,6,,
201730,Guilford,30448,ACCT 401,001,4,Advanced Accounting,Prerequisite: ACCT 303.,,"Cole, Allison",BAUM 205,Full Term Courses,M,8:10pm - 10:10pm,10,25,0/0,0/0,15,,
201730,Guilford,32710,AFAM 106,001,4,Intro to African Heritage,,,"Gwako, Edwins",KING B24,Full Term Courses,MW,11:30am - 12:45pm,18,18,,5/1,0,26,
201730,Guilford,32709,AFAM 225,001,4,African American History,,,"Israel, Adrienne",DUKE 303,Full Term Courses,T,7:25pm - 10:10pm,10,26,0/0,0/0,16,22,
201730,Guilford,32367,ART 102,001,4,Two-Dimensional Design,,,"Williams, Antoine",HCOX 23,Full Term Courses,MW,11:30am - 1:20pm,23,22,,4/1,0,,
201730,Guilford,33007,ART 104,001,4,Drawing Fundamentals,,,"Collier, Kaitlyn",HCOX 23,Full Term Courses,TF,10:00am - 11:50am,22,22,0/0,0/0,0,,
201730,Guilford,32117,ART 104,002,4,Drawing Fundamentals,,,"Nydorf, Roy",HCOX 23,Full Term Courses,TR,1:00pm - 2:50pm,21,22,,4/1,1,,
201730,Guilford,30307,ART 106,001,4,Three-Dimensional Design,Course Fee: $70.,,"Dixon, Mark",HCOX 11A,Full Term Courses,TR,4:00pm - 5:50pm,17,15,,5/1,0,,
201730,Guilford,30308,ART 130,001,4,Photography I,Prerequisite: Instructor permission.  Course Fee: $75.,,"Dery, Maia",HCOX B01,Full Term Courses,TR,4:00pm - 5:50pm,13,12,0/0,0/0,0,,
201730,Guilford,30309,ART 140,001,4,Ceramics I,Course fee: $70.,,"Tefft, Charles",HCOX 13A,Full Term Courses,MW,8:30am - 10:20am,12,12,,2/1,0,,
201730,Guilford,32006,ART 205,001,4,Drawing II,Prerequisite: ART 104 or instructor permission. Course fee: $25.,,"Nydorf, Roy",HCOX 23,Full Term Courses,TR,4:00pm - 5:50pm,11,22,0/0,0/0,11,,
201730,Guilford,30312,ART 211,001,4,Painting I,Prerequisite: ART 102 or 104 or instructor permission. Course fee:  $65.,,"Williams, Antoine",HCOX 21,Full Term Courses,MW,9:30am - 11:20am,14,15,0/0,0/0,1,,
201730,Guilford,32368,ART 221,001,4,Printmaking:Woodcut,Course fee: $60. Prerequisite: ART 104 or instructor permission.,,"Collier, Kaitlyn",HCOX 22,Full Term Courses,TR,1:00pm - 2:50pm,10,15,0/0,0/0,5,,
201730,Guilford,33008,ART 250,003,4,Woodcarving,Prerequisites: 3D Design or Woodcut or permission of instructor. Course Fee: $50.,,"Nydorf, Roy",HCOX 11A,Full Term Courses,MW,9:30am - 11:20am,6,15,0/0,0/0,9,,
201730,Guilford,33010,ART 250,004,4,Experience Design,"Course meets in the ColLaboratory, 2nd Floor, Hege Library.",,"Kiehn, Margery", ,Full Term Courses,W,6:00pm - 8:00pm,10,25,0/0,0/0,15,23,
201730,Guilford,33011,ART 250,005,4,Art and Science of Clay,Course fee $80.  Mandatory Saturday field trip.,,"Tefft, Charles",HCOX 13A,Full Term Courses,MW,11:30am - 1:20pm,6,11,0/0,0/0,5,,
201730,Guilford,30314,ART 251,001,4,Sculpture I,Course fee: $60. Prerequisite: ART 106 or instructor permission.,,"Dixon, Mark",HCOX 11A,Full Term Courses,TF,10:00am - 11:50am,8,12,0/0,0/0,4,,
201730,Guilford,33006,ART 275,001,4,Modern Art,,,"Calvin, Katherine",BAUM 203,Full Term Courses,MW,10:00am - 11:15am,19,25,0/0,0/0,6,,
201730,Guilford,33005,ART 279,001,4,"Identity, Race, Gender in Art",,,"Calvin, Katherine",BAUM 202,Full Term Courses,MW,11:30am - 12:45pm,25,25,0/0,0/0,0,,
201730,Guilford,30849,BIOL 111,001,4,Integrative Biol:Molecule/Cell,Corequisite:  Associated lab.,,"Malotky, Michele",FRNK L26,Full Term Courses,TF,8:30am - 9:45am,26,26,,10/1,0,,
201730,Guilford,30850,BIOL 111,002,0,Lab,,,"Malotky, Michele",FRNK L26,Full Term Courses,R,8:30am - 11:20am,26,26,,10/1,0,,
201730,Guilford,30851,BIOL 111,003,4,Integrative Biol:Molecule/Cell,Corequisite:  Associated lab.,,"Gooch, Randy",FRNK L26,Full Term Courses,MW,11:30am - 12:45pm,25,26,,10/1,1,,
201730,Guilford,30852,BIOL 111,004,0,Lab,,,"Gooch, Randy",FRNK L26,Full Term Courses,M,2:30pm - 5:20pm,25,26,,10/1,1,,
201730,Guilford,30864,BIOL 111,005,4,Integrative Biol:Molecule/Cell,Corequisite:  Associated lab.,,"Brendley, Bryan",FRNK 121,Full Term Courses,TR,1:00pm - 2:15pm,26,26,,10/1,0,,
201730,Guilford,30865,BIOL 111,006,0,Lab,,,"Brendley, Bryan",FRNK L26,Full Term Courses,T,2:30pm - 5:20pm,26,26,,10/1,0,,
201730,Guilford,30862,BIOL 112,001,4,"Intgrtve Biol:Orgnsm,Ecol,Evol",Corequisite:  Associated lab.  This is the recommended course for non-majors fulfilling the General Lab Science requirement.,,"Gooch, Randy",FRNK L07,Full Term Courses,MW,8:30am - 9:45am,15,26,,3/1,11,,
201730,Guilford,30863,BIOL 112,002,0,Lab,,,"Gooch, Randy",FRNK L07,Full Term Courses,T,2:30pm - 5:20pm,15,26,,3/1,11,,
201730,Guilford,32088,BIOL 112,003,4,"Intgrtve Biol:Orgnsm,Ecol,Evol",Corequisite:  Associated lab. Recommended for non-science majors.,,"White, Megan",FRNK L07,Full Term Courses,TR,1:00pm - 2:15pm,20,26,,6/1,6,,
201730,Guilford,32089,BIOL 112,004,0,Lab,,,"White, Megan",FRNK L07,Full Term Courses,R,10:00am - 12:50pm,20,26,,6/1,6,,
201730,Guilford,30853,BIOL 112,005,4,"Intgrtve Biol:Orgnsm,Ecol,Evol",Corequisite:  Associated lab.  This is the recommended course for non-majors fulfilling the General Lab Science requirement.,,"Stracey Richard, Christine",FRNK L07,Full Term Courses,M,6:00pm - 8:00pm,26,26,0/0,0/0,0,,
201730,Guilford,30854,BIOL 112,006,0,Lab,,,"Stracey Richard, Christine",FRNK L07,Full Term Courses,W,6:00pm - 8:00pm,26,26,0/0,0/0,0,,
201730,Guilford,32091,BIOL 115,001,4,General Botany,Labs alternate with class periods.  Recommended for non-science majors.,,"Keegan, Frank",FRNK 102,Full Term Courses,W,8:10pm - 10:10pm,21,20,0/0,0/0,0,,
201730,Guilford,32096,BIOL 245,001,4,Introduction Forensic Science,Labs alternate with class periods.  Recommended for non-science majors.,,"Keegan, Frank",FRNK 102,Full Term Courses,M,8:10pm - 10:10pm,22,20,0/0,0/0,0,,
201730,Guilford,31474,BIOL 291,001,4,Intro Into Scientific Inquiry,"Prerequisites: BIOL 111, 112 and Historical Perspectives. Class will meet on Monday and Lab Will meet on Friday.",,"Malotky, Michele",FRNK 110,Full Term Courses,MF,2:30pm - 5:20pm,13,14,0/0,0/0,1,,
201730,Guilford,30163,BIOL 313,001,4,Molecular Cell Biology,"Enrollment limited to CCE students or instructor permission.  Prerequisites: BIOL 111, CHEM 112 or BIOL 246. Labs meet on alternate Tuesdays.",,"Brendley, Bryan",FRNK 121,Full Term Courses,T,7:25pm - 10:10pm,13,18,0/0,0/0,5,,
201730,Guilford,32099,BIOL 315,001,4,Microbiology,"Corequisite: Associated lab.  Prerequisite: CHEM 112, BIOL 111 and BIOL 291. One required Saturday class on October 21 for NCASM meeting.",,"Lee-Brown, Melanie",FRNK 110,Full Term Courses,TR,1:00pm - 2:15pm,11,18,0/0,0/0,7,,
201730,Guilford,32100,BIOL 315,002,0,Lab,,,"Lee-Brown, Melanie",FRNK 110,Full Term Courses,T,2:30pm - 5:20pm,11,18,0/0,0/0,7,,
201730,Guilford,32123,BIOL 334,001,4,Animal Behavior,Corequisite: Associated lab.  Prerequisite: BIOL 112 and BIOL 291 or instructor permission.,,"Stracey Richard, Christine",FRNK 129,Full Term Courses,TR,1:00pm - 2:15pm,14,16,0/0,0/0,2,,
201730,Guilford,32124,BIOL 334,002,0,Lab,,,"Stracey Richard, Christine",FRNK 129,Full Term Courses,T,2:30pm - 5:20pm,14,16,0/0,0/0,2,,
